资金,日期(月/日/年),操作
2000,9/12/16,1
2004.1,9/13/16,1
1997.21,9/14/16,1
2002.33,9/15/16,1
1998.16,9/16/16,1
1991.37,9/17/16,1
2006.26,9/18/16,1
2001.7,9/19/16,1
1996.68,9/20/16,1
1964.6,9/21/16,1
1959.81,9/22/16,1
1948.85,9/23/16,1
1981.0,9/24/16,1
1973.98,9/25/16,1
1964.93,9/26/16,1
1987.83,9/27/16,1
1986.88,9/28/16,1
1980.91,9/29/16,1
1999.08,9/30/16,1
2016.89,10/1/16,1
2010.85,10/2/16,1
2007.14,10/3/16,1
1999.82,10/4/16,1
1991.82,10/5/16,1
2007.89,10/6/16,1
2024.72,10/7/16,1
2016.62,10/8/16,1
2019.61,10/9/16,1
2025.81,10/10/16,1
2016.72,10/11/16,1
2083.12,10/12/16,1
2086.24,10/13/16,1
2079.88,10/14/16,1
2092.74,10/15/16,1
2104.16,10/16/16,1
2096.12,10/17/16,1
2087.33,10/18/16,1
2064.24,10/19/16,1
2059.22,10/20/16,1
2073.0,10/21/16,1
2150.29,10/22/16,1
2142.97,10/23/16,1
2136.87,10/24/16,1
2149.73,10/25/16,1
2137.07,10/26/16,1
2238.01,10/27/16,1
2255.92,10/28/16,1
2250.11,10/29/16,1
2289.77,10/30/16,1
2302.89,10/31/16,1
2286.52,11/1/16,1
2405.67,11/2/16,0
2358.5,11/3/16,0
2358.5,11/4/16,1
2383.62,11/5/16,1
2408.0,11/6/16,1
2401.1,11/7/16,1
2397.75,11/8/16,1
2438.2,11/9/16,1
2440.13,11/10/16,1
2419.67,11/11/16,1
2379.97,11/12/16,1
2375.13,11/13/16,1
2389.27,11/14/16,1
2404.32,11/15/16,1
2407.09,11/16/16,1
2492.42,11/17/16,1
2528.13,11/18/16,1
2533.07,11/19/16,0
2483.4,11/20/16,0
2483.4,11/21/16,0
2483.4,11/22/16,0
2483.4,11/23/16,0
2483.4,11/24/16,0
2483.4,11/25/16,0
2483.4,11/26/16,0
2483.4,11/27/16,0
2483.4,11/28/16,0
2483.4,11/29/16,0
2483.4,11/30/16,0
2483.4,12/1/16,1
2534.38,12/2/16,1
2507.8,12/3/16,1
2503.34,12/4/16,1
2475.98,12/5/16,1
2482.51,12/6/16,1
2490.29,12/7/16,1
2525.5,12/8/16,1
2526.48,12/9/16,1
2523.4,12/10/16,1
2549.39,12/11/16,1
2549.39,12/12/16,1
2552.64,12/13/16,1
2542.47,12/14/16,1
2548.57,12/15/16,1
2545.72,12/16/16,1
2587.78,12/17/16,1
2586.8,12/18/16,1
2587.69,12/19/16,1
2602.19,12/20/16,1
2704.3,12/21/16,1
2739.6,12/22/16,1
2957.27,12/23/16,1
2925.44,12/24/16,1
2928.69,12/25/16,1
2944.21,12/26/16,1
3052.62,12/27/16,1
3052.52,12/28/16,1
3160.93,12/29/16,1
3124.08,12/30/16,1
3143.67,12/31/16,1
3273.6,1/1/17,1
3333.48,1/2/17,1
3325.11,1/3/17,1
3696.99,1/4/17,2
3627.693,1/5/17,2
3625.07,1/6/17,2
3633.24,1/7/17,2
3633.24,1/8/17,2
3633.24,1/9/17,2
