资金,日期(月/日/年),操作
500,9/12/16,1
501.03,9/13/16,1
499.31,9/14/16,1
500.59,9/15/16,1
499.55,9/16/16,1
497.85,9/17/16,1
501.57,9/18/16,1
500.43,9/19/16,1
499.18,9/20/16,1
491.16,9/21/16,1
489.96,9/22/16,1
487.22,9/23/16,1
495.26,9/24/16,1
493.5,9/25/16,1
491.24,9/26/16,1
496.96,9/27/16,1
496.72,9/28/16,1
495.23,9/29/16,1
499.77,9/30/16,1
504.22,10/1/16,1
502.71,10/2/16,1
501.78,10/3/16,1
499.95,10/4/16,1
497.95,10/5/16,1
501.97,10/6/16,1
506.18,10/7/16,1
504.15,10/8/16,1
504.9,10/9/16,1
506.45,10/10/16,1
504.18,10/11/16,1
520.78,10/12/16,1
521.56,10/13/16,1
519.97,10/14/16,1
523.18,10/15/16,1
526.03,10/16/16,1
524.02,10/17/16,1
521.82,10/18/16,1
516.05,10/19/16,1
514.8,10/20/16,1
518.24,10/21/16,1
537.56,10/22/16,1
535.73,10/23/16,1
534.2,10/24/16,1
537.41,10/25/16,1
534.24,10/26/16,1
559.47,10/27/16,1
563.95,10/28/16,1
562.5,10/29/16,1
572.41,10/30/16,1
575.69,10/31/16,1
571.6,11/1/16,1
601.39,11/2/16,0
589.6,11/3/16,0
589.6,11/4/16,1
595.88,11/5/16,1
601.98,11/6/16,1
600.26,11/7/16,1
599.42,11/8/16,1
609.53,11/9/16,1
610.01,11/10/16,1
604.89,11/11/16,1
594.96,11/12/16,1
593.75,11/13/16,1
597.28,11/14/16,1
601.04,11/15/16,1
601.73,11/16/16,1
623.06,11/17/16,1
631.99,11/18/16,1
633.22,11/19/16,0
620.8,11/20/16,0
620.8,11/21/16,0
620.8,11/22/16,0
620.8,11/23/16,0
620.8,11/24/16,0
620.8,11/25/16,0
620.8,11/26/16,0
620.8,11/27/16,0
620.8,11/28/16,0
620.8,11/29/16,0
620.8,11/30/16,0
620.8,12/1/16,1
633.55,12/2/16,1
626.91,12/3/16,1
625.79,12/4/16,1
618.95,12/5/16,1
620.58,12/6/16,1
622.52,12/7/16,1
631.32,12/8/16,1
631.57,12/9/16,1
630.8,12/10/16,1
637.3,12/11/16,1
637.3,12/12/16,1
638.11,12/13/16,1
635.57,12/14/16,1
637.1,12/15/16,1
636.39,12/16/16,1
646.91,12/17/16,1
646.66,12/18/16,1
646.88,12/19/16,1
650.51,12/20/16,1
676.04,12/21/16,1
684.87,12/22/16,1
739.28,12/23/16,1
731.32,12/24/16,1
732.13,12/25/16,1
736.01,12/26/16,1
763.11,12/27/16,1
763.09,12/28/16,1
790.19,12/29/16,1
780.98,12/30/16,1
785.88,12/31/16,1
818.36,1/1/17,1
833.33,1/2/17,1
831.24,1/3/17,1
924.21,1/4/17,2
906.887,1/5/17,2
906.23,1/6/17,2
908.27,1/7/17,2
908.27,1/8/17,2
908.27,1/9/17,2
916.75,1/10/17,2
908.31,1/11/17,2
928.73,1/12/17,1
954.066,1/13/17,1
944.39,1/14/17,1
946.28,1/15/17,1
958.92,1/16/17,1
1043.6,1/17/17,1
1046.79,1/18/17,1
1034.32,1/19/17,1
1031.81,1/20/17,1
1034.14,1/21/17,1
1060.65,1/22/17,1
1064.66,1/23/17,1
1062.23,1/24/17,0
1041.4,1/25/17,1
1047.17,1/26/17,1
1046.13,1/27/17,1
1052.15,1/28/17,1
1047.14,1/29/17,1
1042.86,1/30/17,1
1102.9,1/31/17,1
1120.05,2/1/17,1
1124.3,2/2/17,1
1158.15,2/3/17,1
1178.7,2/4/17,1
1182.21,2/5/17,1
1170.71,2/6/17,1
1200.54,2/7/17,1
1203.66,2/8/17,0
1180.06,2/9/17,1
1184.18,2/10/17,1
1182.39,2/11/17,1
1185.96,2/12/17,1
1185.1,2/13/17,1
1186.67,2/14/17,1
1199.86,2/15/17,1
1226.98,2/16/17,1
1226.97,2/17/17,1
1252.38,2/18/17,1
1247.81,2/19/17,1
1245.55,2/20/17,1
1331.98,2/21/17,1
1331.31,2/22/17,1
1339.35,2/23/17,1
1392.52,2/24/17,0
1365.22,2/25/17,0
1365.22,2/26/17,1
1385.44,2/27/17,1
1381.73,2/28/17,1
1385.6,3/1/17,1
1465.32,3/2/17,1
1495.26,3/3/17,1
1497.42,3/4/17,1
1478.73,3/5/17,1
1483.69,3/6/17,1
1488.7,3/7/17,0
1459.51,3/8/17,1
1474.26,3/9/17,1
1473.79,3/10/17,1
1457.8,3/11/17,1
1517.56,3/12/17,1
1517.79,3/13/17,1
1539.66,3/14/17,1
1554.53,3/15/17,1
1554.04,3/16/17,0
1523.57,3/17/17,0
1523.57,3/18/17,0
1523.57,3/19/17,1
1619.33,3/20/17,1
1726.68,3/21/17,1
1717.99,3/22/17,0
1684.3,3/23/17,0
1684.3,3/24/17,0
1684.3,3/25/17,1
1702.63,3/26/17,1
1845.78,3/27/17,1
1852.56,3/28/17,1
1851.73,3/29/17,1
1846.98,3/30/17,1
1841.35,3/31/17,1
1934.22,4/1/17,1
1956.0,4/2/17,1
1921.87,4/3/17,1
2031.51,4/4/17,1
2016.35,4/5/17,1
2017.15,4/6/17,1
2118.45,4/7/17,1
2101.89,4/8/17,1
2107.02,4/9/17,1
2149.22,4/10/17,1
2182.8,4/11/17,1
2169.41,4/12/17,0
2126.87,4/13/17,0
2126.87,4/14/17,0
2126.87,4/15/17,0
2126.87,4/16/17,0
2126.87,4/17/17,0
2126.87,4/18/17,1
2157.73,4/19/17,1
2199.82,4/20/17,1
2190.86,4/21/17,1
2234.59,4/22/17,1
2228.7,4/23/17,1
2198.32,4/24/17,1
2266.66,4/25/17,1
2319.27,4/26/17,1
2281.91,4/27/17,1
2358.58,4/28/17,1
2365.11,4/29/17,1
2361.6,4/30/17,1
2510.72,5/1/17,1
2572.56,5/2/17,1
2564.54,5/3/17,1
2672.15,5/4/17,1
2716.52,5/5/17,1
2690.68,5/6/17,1
2721.01,5/7/17,1
2906.59,5/8/17,1
2925.16,5/9/17,1
3123.21,5/10/17,1
3226.15,5/11/17,1
3240.34,5/12/17,0
3176.8,5/13/17,0
3176.8,5/14/17,0
3176.8,5/15/17,0
3176.8,5/16/17,1
3237.11,5/17/17,1
3195.01,5/18/17,1
3512.98,5/19/17,1
3676.65,5/20/17,0
3604.56,5/21/17,1
3677.82,5/22/17,1
4024.46,5/23/17,1
3969.24,5/24/17,1
4199.49,5/25/17,0
4117.15,5/26/17,1
4160.22,5/27/17,0
4078.65,5/28/17,1
4149.93,5/29/17,1
4175.62,5/30/17,1
4168.17,5/31/17,1
4374.78,6/1/17,1
4394.27,6/2/17,1
4605.48,6/3/17,1
4587.99,6/4/17,1
4612.34,6/5/17,1
5257.43,6/6/17,0
5154.34,6/7/17,0
5154.34,6/8/17,1
5325.36,6/9/17,1
5359.04,6/10/17,1
5459.35,6/11/17,0
5352.3,6/12/17,1
5426.06,6/13/17,1
5342.77,6/14/17,0
5238.01,6/15/17,0
5238.01,6/16/17,0
5238.01,6/17/17,0
5238.01,6/18/17,1
5360.22,6/19/17,1
5324.97,6/20/17,1
5470.47,6/21/17,1
5585.66,6/22/17,1
5557.38,6/23/17,0
5448.41,6/24/17,0
5448.41,6/25/17,0
